site,reachable,reason,confirmaccount,notes
epicgames.com,yes,NA,yes
twitch.tv,no,browsernotsupported,NA
roblox.com,no,doesnotacceptstdpassword,NA
steampowered.com,yes,NA,yes
ea.com,yes,NA,yes
steamcommunity.com,no,ownedbysteampowered.com,NA
rayjump.com,no,chinese,NA
3dmgame.com,no,chinese,NA
playstation.net,no,IPnotfound,
nintendo.net,yes,NA,yes
playstation.com,yes
ali213.net,no,chinese,NA
chess.com,yes,NA,Yes
ign.com,no,filedunderentertainment,
riotgames.com,no,datalostfeb26,NA
yayoye-spiele.com,no,nosignup,NA
huya.com,no,chinese,NA
gamersky.com,no,chinese,NA
jagex.com,no,nosignup,no
xbox.com,yes,NA,?,ownedbymicrosoft
battle.net,yes,relatedtoblizzard,yes
op.gg,yes,NA,yes
blizzard.com,yes,NA,yes
gamespot.com,yes,NA,?
nintendo.com,no,ownedbynintendo.net,NA
178.com,no,chinese,NA
ubi.com,yes,NA,yes
oppomobile.com,no,chinese,NA
ztomy.com,no,connectionwasreset,NA
gamer.com.tw,yes,NA,yes
itch.io,yes,NA,no
nga.cn,no,chinese,NA
playrix.com,no,nosignup,NA
zynga.com,no,nosignup,NA
minecraft.net,no,microsoftsigninonly,NA
callofduty.com,yes,NA,no
wowhead.com,yes,NA,yes
ruliweb.com,no,idverficationkorean,NA
douyincdn.com,no,IPnotfound,NA
leagueoflegends.com,no,ownedbyriotgames.com,NA
lichess.org,yes,NA,no
biligame.com,no,chinese,NA
liquipedia.net,yes,NA,yes,usestl.netforlogin
futbin.com,no,filedundersports,NA
nexon.com,yes,NA,yes
4399.com,no,chinese,NA
mihoyo.com,no,chinese,NA
poki.com,no,nosignup,NA
xboxlive.com,no,ownedbyxbox.com,NA
inven.co.kr,no,idverficationkorean,NA
gog.com,yes,NA,no
rockstargames.com,yes,NA,yes
king.com,yes,NA,yes
polygon.com,yes,NA,yes,voxmedia.com-limitedmembershipfor24hrs
nexusmods.com,yes,NA,yes
gamewith.jp,yes,NA,yes
fitgirl-repacks.site,no,nosignup,NA
wargaming.net,yes,NA,yes
lilithgame.com,no,nosignup,NA
activision.com,no,ownedbyblizzard.com,NA,emailalreadyinuse
18183.com,no,chinese,NA
apksupply.com,no,chinese,NA,tooslow
pcgamer.com,no,nosignup,NA
origin.com,no,ownedbyEA.com,NA
curseforge.com,no,onlytwitchlogin,NA
9game.cn,no,chinese,NA
17173.com,no,chinese,NA
gamestop.com,no,req_phone,NA
palmplaystore.com,no,page_unavailable,NA
anxia.com,no,chinese,NA
hoyoverse.com,no,nosignup,NA
playtika.com,no,nosignup,NA
easybrain.com,no,nosignup,NA
gamesradar.com,no,nosignup,NA,strikingsimilaritytopcgamer.com
newgrounds.com,yes,NA,yes
lolesports.com,no,ownedbyriotgames.com,NA
tapclap.com,no,nosignup,NA
gamerant.com,no,nosignup,NA
my.games,no,nosignup,NA
bluestacks.com,no,nosignup,NA
huijiwiki.com,yes,NA,yes
huijiwiki.com,no,ownedbyunity.com,NA
eurogamer.net,yes,NA,yes,usesreedpopidforlogin
crazygames.com,yes,NA,yes
warthunder.com,yes,NA,yes,ownedbygaijin.net
easports.com,no,ownedbyea.com,NA
steamdb.info,no,ownedbysteam,NA
jeuxvideo.com,yes,NA,yes
pokemon.com,yes,NA,yes
game8.jp,yes,NA,yes,creationitselfnotmeasured
respawn.com,no,nosignup,NA
forgeofempires.com,yes,NA,yes
wizards.com,yes,NA,yes
bethesda.net,yes,NA,yes
thegamer.com,no,nosignup,NA
epicgames.dev,no,ownedbyepicgames.com,NA
kakuyomu.jp,yes,NA,yes
byrut.org,yes,NA,no
simpcity.su,no,porn,NA
battlenet.com.cn,no,chinese,NA
mcmod.cn,no,chinese,NA
gameloft.com,no,nosignup,NA
supercell.com,no,signiningameonly,NA
ndmdhs.com,no,ipnotfound,NA
worldofwarcraft.com,no,ownedbyblizzard.com,NA
exitgames.com,no,goestophotonengine.com,NA
ludia.net,no,nosignup,NA
dycdn.com,no,IPnotfound,NA
blizzard.cn,no,ownedbyblizzard.com,NA
gamepass.com,no,ownedbyxbox.com,NA
giantbomb.com,yes,NA,yes





