,website,category,reachableornot,reason,requires_authentication,notes
247,cbc.ca/,generalnews,yes,,yes,
255,rt.com/,generalnews,no,,,
256,abc.net.au/,generalnews,yes,,yes,
257,apnews.com,generalnews,no,,,
258,dw.com,generalnews,no,,,
259,newsweek.com/,generalnews,yes,,yes,
266,thepaper.cn/,generalnews,no,,,
267,elpais.com/,generalnews,yes,,yes,
269,spiegel.de/,generalnews,yes,,yes,
275,stumbleupon.com/,generalnews,no,,,
276,ria.ru,generalnews,yes,,yes,
277,people.com.cn,generalnews,no,,,
278,thesun.co.uk/,generalnews,yes,,yes,
283,mirror.co.uk/,generalnews,yes,,yes,
310,166.com,generalnews,no,,,
311,aljazeera.com,generalnews,no,,,
312,sfgate.com,generalnews,no,,,
313,bizjournals.com/,generalnews,yes,,no,
316,chicagotribune.com/,generalnews,yes,,no,
323,eastday.com,generalnews,no,,,
324,thetimes.co.uk,generalnews,no,,,
325,qz.com,generalnews,no,,,
326,news.com.au/,generalnews,yes,,no,
335,lenta.ru/,generalnews,yes,,no,
340,chinadaily.com.cn,generalnews,no,,,
341,express.co.uk/,generalnews,yes,,no,
354,smh.com.au/,generalnews,yes,,no,
366,ndtv.com,generalnews,no,,,
367,nikkei.com,generalnews,no,,,
368,thehill.com,generalnews,no,,,
369,chron.com/,generalnews,yes,,no,
372,lemonde.fr/,generalnews,yes,,yes,
373,scmp.com/,generalnews,yes,,yes,
377,euronews.com,generalnews,no,,,
378,today.com,generalnews,no,,,
379,thedailybeast.com,generalnews,no,,,
380,repubblica.it/,generalnews,yes,,no,
389,flipboard.com/,generalnews,yes,,yes,
391,theglobeandmail.com/,generalnews,yes,,yes,
394,smithsonianmag.com,generalnews,no,,,
395,nymag.com/,generalnews,yes,,yes,
420,infobae.com/,generalnews,yes,,yes,
429,metro.co.uk,generalnews,no,,,
430,nhk.or.jp,generalnews,no,,,
431,hindustantimes.com/,generalnews,yes,,yes,
484,guancha.cn,generalnews,no,,,
485,indianexpress.com/,generalnews,yes,,no,
498,bild.de/,generalnews,yes,,no,
507,boston.com/,generalnews,no,,,
508,corriere.it/,generalnews,yes,,yes,
520,lefigaro.fr/,generalnews,yes,,no,
525,udn.com/,generalnews,yes,,yes,
531,vnexpress.net/,generalnews,yes,,yes,
539,news.cn,generalnews,no,,,
540,amazon.com,onlineshopping,yes,,,
541,jd.com,onlineshopping,no,,,
542,tmall.com,onlineshopping,no,,,
543,etsy.com,onlineshopping,yes,,no,
545,trendyol.com,onlineshopping,yes,,yes,
546,walmart.com,onlineshopping,yes,,no,
547,wildberries.ru,onlineshopping,no,,,
548,ikea.com,onlineshopping,yes,,,
549,1688.com,onlineshopping,no,,,
550,flipkart.com,onlineshopping,no,,,
551,rakuten.co.jp,onlineshopping,no,,,
552,homedepot.com,onlineshopping,yes,,,
553,target.com,onlineshopping,yes,,,
554,bestbuy.com,onlineshopping,yes,,,
555,shein.com/,onlineshopping,yes,,no,
556,plesk.com,onlineshopping,yes,,,
557,shopee.tw,onlineshopping,no,,,
558,coupang.com,onlineshopping,no,,,
559,mercadolibre.com.mx,onlineshopping,yes,,,
560,lazada.sg,onlineshopping,no,,,
561,barnesandnoble.com,onlineshopping,yes,,,
562,shopee.co.id,onlineshopping,yes,,,
563,arlo.com/,onlineshopping,yes,,requires_authentication,
568,aliexpress.com/,onlineshopping,yes,,yes,
573,wayfair.com/,onlineshopping,yes,,requires_authentication,
574,tokopedia.com/,onlineshopping,no,,,
575,hm.com/,onlineshopping,yes,,requires_authentication,
577,ssl-images-amazon.com,onlineshopping,no,,,
578,dns-shop.ru,onlineshopping,no,,,
579,lowes.com,onlineshopping,no,,,
580,instacart.com/,onlineshopping,yes,,requires_authentication,
582,rakuten.com,onlineshopping,yes,,,
583,qianxun.com,onlineshopping,no,,,
584,costco.com,onlineshopping,yes,,,
585,redbubble.com/,onlineshopping,yes,,requires_authentication,
594,wal-mart.com,onlineshopping,no,,,
595,mydrivers.com,onlineshopping,no,,,
596,dlsite.com,onlineshopping,yes,,,
597,audible.com,onlineshopping,yes,,,
598,macys.com/,onlineshopping,yes,,requires_authentication,
605,houzz.com/,onlineshopping,yes,,requires_authentication,
606,alibaba-inc.com/,onlineshopping,no,,,
607,hepsiburada.com,onlineshopping,no,,,
608,asos.com,onlineshopping,yes,,,
609,kohls.com/,onlineshopping,yes,,requires_authentication,
616,zara.com,onlineshopping,yes,,,
617,myntra.com,onlineshopping,no,,,
618,bhphotovideo.com/,onlineshopping,yes,,requires_authentication,
620,pinduoduo.com,onlineshopping,no,,,
621,zappos.com,onlineshopping,yes,,,
622,samsclub.com/,onlineshopping,yes,,requires_authentication,
630,walgreens.com,onlineshopping,yes,,,
631,nordstrom.com,onlineshopping,no,,,
632,redbull.com,onlineshopping,yes,,,
633,gopro.com,onlineshopping,yes,,,
634,teacherspayteachers.com,onlineshopping,yes,,,
635,sephora.com/,onlineshopping,yes,,requires_authentication,
652,bol.com,onlineshopping,no,,,
653,postmates.com,onlineshopping,no,,,
654,dmm.com,onlineshopping,no,,,
655,iherb.com/,onlineshopping,yes,,requires_authentication,
662,refinery29.com,onlineshopping,yes,,,
663,noon.com,onlineshopping,yes,,,
664,abebooks.com,onlineshopping,yes,,,
665,litres.ru,onlineshopping,no,,,
666,overstock.com/,onlineshopping,yes,,yes,
685,11st.co.kr,onlineshopping,yes,,,
686,skroutz.gr,onlineshopping,yes,,,
687,mercadolibre.com,onlineshopping,yes,,,
688,lenovomm.com,onlineshopping,no,,,
689,zazzle.com/,onlineshopping,yes,,requires_authentication,
696,jinritemai.com,onlineshopping,no,,,
697,bookdepository.com,onlineshopping,no,,,
698,chewy.com/,onlineshopping,yes,,requires_authentication,
705,pngtree.com,onlineshopping,yes,,,
706,rei.com,onlineshopping,yes,,,
707,poshmark.com/,onlineshopping,yes,,requires_authentication,
709,nap.edu,onlineshopping,yes,,,
710,daraz.pk,onlineshopping,no,,,
711,farfetch.com/,onlineshopping,yes,,requires_authentication,
716,gmarket.co,onlineshopping,no,,,
717,espn.com,sports,yes,,no,
720,hupu.com,sports,no,,,
721,nike.com,sports,no,,,
722,cricbuzz.com,sports,yes,,,
723,espncricinfo.com,sports,no,,,
724,nba.com,sports,yes,,,
725,marca.com,sports,yes,,,
726,varzesh3.com,sports,no,,,
727,fmkorea.com,sports,no,,,
728,as.com/,sports,yes,,requires_authentication,
729,fifa.com/,sports,yes,,yes,
732,nfl.com,sports,yes,,,
733,pvp.net,sports,yes,,requires_authentication,
734,cbssports.com,sports,yes,,,
735,bleacherreport.com/,sports,yes,,requires_authentication,
739,futbin.com,sports,yes,,,
740,nhl.com/,sports,yes,,requires_authentication,
748,livescore.com,sports,no,,,
750,premierleague.com/,sports,yes,,requires_authentication,
754,si.com,sports,no,,,
755,sportskeeda.com/,sports,yes,,requires_authentication,
757,goal.com/,sports,yes,,,
758,uefa.com,sports,yes,,,
759,skysports.com,sports,yes,,,
760,nbcsports.com,sports,yes,,,
761,koora.com,sports,no,,,
762,olympics.com,sports,yes,,,
763,hltv.org/,sports,yes,,yes,
769,formula1.com/,sports,yes,,yes,
772,mundodeportivo.com/,sports,yes,,requires_authentication,
782,sbnation.com,sports,yes,,,
783,thescore.com,sports,no,,,
784,theathletic.com/,sports,yes,,requires_authentication,
787,sports.ru,sports,yes,,,
788,sport.es/,sports,yes,,yes,
797,sofascore.com,sports,yes,,,
798,fubo.tv/,sports,yes,,requires_authentication,
813,sportingnews.com,sports,no,,,
814,sportbox.ru,sports,no,,,
815,sinebrychoff.fi,sports,no,,,
816,netflix.com,entertainment,yes,,,
817,bilibili.com,entertainment,no,,,
818,warnerbros.com,entertainment,no,,,
819,imdb.com,entertainment,yes,,,
820,fandom.com,entertainment,yes,,,
821,tiktok.com,entertainment,yes,,,
822,amazonvideo.com,entertainment,yes,,,
823,iqiyi.com,entertainment,no,,,
824,hotstar.com/,entertainment,yes,,requires_authentication,
826,giphy.com/,entertainment,yes,,requires_authentication,
834,roku.com,entertainment,yes,,,
835,bandcamp.com,entertainment,yes,,,
836,buzzfeed.com,entertainment,yes,,,
837,cctv.com,entertainment,no,,,
838,nicovideo.jp,entertainment,yes,,,
