https://sourcepointcmp.bloomberg.com/wrapperMessagingWithoutDetection.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
https://sourcepointcmp.bloomberg.com/ccpa.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
https://coordinator.cm.bloomberg.com/coordination?metadata.paywall.device=Desktop%7CLinux%7Cchrome&metadata.consent=true&metadata.paywall.referrer=Referral&limit=100, coordinator.cm.bloomberg.com, coordinator.arcus.cm.bloomberga.com, prod-821d90eb75aab4aa17662856c5-190602495.us-east-1.elb.amazonaws.com
https://sli.bloomberg.com/baker?dtstmp=1675297324384, sli.bloomberg.com, cac7984d65536a2dfe37455fbb39244f.edgekey.net, e109342.dscb.akamaiedge.net
https://sourcepointcmp.bloomberg.com/wrapperMessagingWithoutDetection.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
https://sourcepointcmp.bloomberg.com/ccpa.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
https://coordinator.cm.bloomberg.com/coordination?currentResource=Story%7CRPF4KSDWLU6801&metadata.paywall.device=Desktop%7CLinux%7Cchrome&metadata.consent=true&metadata.paywall.referrer=Referral&limit=100, coordinator.cm.bloomberg.com, coordinator.arcus.cm.bloomberga.com, prod-821d90eb75aab4aa17662856c5-190602495.us-east-1.elb.amazonaws.com
https://coordinator.cm.bloomberg.com/coordination?currentResource=Story%7CRPF4KSDWLU6801&metadata.paywall.device=Desktop%7CLinux%7Cchrome&metadata.consent=true&metadata.paywall.referrer=Referral&limit=100, coordinator.cm.bloomberg.com, coordinator.arcus.cm.bloomberga.com, prod-821d90eb75aab4aa17662856c5-190602495.us-east-1.elb.amazonaws.com
https://sli.bloomberg.com/baker?dtstmp=1675297341694, sli.bloomberg.com, cac7984d65536a2dfe37455fbb39244f.edgekey.net, e109342.dscb.akamaiedge.net
https://sourcepointcmp.bloomberg.com/wrapperMessagingWithoutDetection.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
https://sourcepointcmp.bloomberg.com/ccpa.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
https://coordinator.cm.bloomberg.com/coordination?metadata.paywall.device=Desktop%7CLinux%7Cchrome&metadata.consent=true&metadata.paywall.referrer=Referral&limit=100, coordinator.cm.bloomberg.com, coordinator.arcus.cm.bloomberga.com, prod-821d90eb75aab4aa17662856c5-190602495.us-east-1.elb.amazonaws.com
https://sli.bloomberg.com/baker?dtstmp=1675297324384, sli.bloomberg.com, cac7984d65536a2dfe37455fbb39244f.edgekey.net, e109342.dscb.akamaiedge.net
https://sourcepointcmp.bloomberg.com/wrapperMessagingWithoutDetection.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
https://sourcepointcmp.bloomberg.com/ccpa.js, sourcepointcmp.bloomberg.com, cdn-1425.privacy-mgmt.com
