spiegel.de/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, post, www.facebook.com, requires_authentication
spiegel.de/, general news, yes, yes, Illinois, hashing, get, 49111d8f.de.ioam.de, requires_authentication
spiegel.de/, general news, yes, yes, Illinois, hashing, get, 86668d4d.de.ioam.de, requires_authentication
spiegel.de/, general news, yes, yes, Illinois, hashing, get, securepubads.g.doubleclick.net, requires_authentication
spiegel.de/, general news, yes, yes, Illinois, hashing, get, ad.yieldlab.net, requires_authentication
spiegel.de/, general news, yes, yes, Illinois, hashing, get, c9d55e36.de.ioam.de, requires_authentication
